"area","balcony","basement","bath_tube","building_plot","cabletv","ceiling","cheminee","elevator","first_time","floors","furnished","home_type","kids_friendly","laundry","minergie","new_building","newly_built","oldbuilding","oven","parking_indoor","parking_outside","playground","pool","price","quiet","raised_groundfloor","rooms","sale","sunny","terrace","topstorage","veranda","wheelchair","year","year_built","zipcode"
90,0,0,0,0,0,0,0,0,0,2,0,"Maisonette",0,0,0,0,0,0,0,0,0,0,0,"448000.0CHF",0,0,4.5,1,0,0,0,0,0,2018,1992,7078
100,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,1,0,0,0,"225000.0CHF",0,0,3.5,NA,0,0,0,0,0,2018,1994,1885
110,0,0,0,0,1,0,0,0,0,2,0,"Wohnung",1,0,0,0,1,0,0,1,0,0,0,"415000.0CHF",0,0,4.5,NA,0,0,0,0,0,2016,2017,6648
152,0,0,0,0,0,0,1,0,0,3,0,"Dachwohnung",0,0,0,0,0,0,0,1,0,0,0,"597500.0CHF",0,0,4.5,1,0,0,0,0,0,2016,1985,5632
76,1,1,1,0,1,0,0,1,0,1,0,"Wohnung",0,1,0,0,0,0,0,0,0,0,0,"380000.0CHF",0,0,4.5,1,0,0,1,0,1,2014,1987,8580
157,0,0,0,0,0,0,1,1,0,3,0,"Wohnung",0,0,0,0,1,0,0,1,0,0,0,"3646500.0CHF",0,0,4.5,1,0,0,0,0,0,2014,2013,3963
94,1,0,0,0,1,0,0,1,0,1,0,"Wohnung",1,0,0,0,1,0,0,0,0,0,0,"430000.0CHF",0,0,3.5,NA,0,0,0,0,0,2016,2016,1713
175,1,0,0,0,1,0,0,0,0,2,0,"Maisonette",1,0,0,0,0,0,0,1,0,0,0,"695000.0CHF",0,0,5.5,1,0,0,0,0,0,2015,1991,1462
90,1,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,"615000.0CHF",0,0,3.5,1,0,0,0,0,0,2019,2020,3132
153,0,0,0,0,0,0,0,0,0,3,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,"395000.0CHF",0,0,4.5,1,0,0,0,0,0,2016,1984,3954
88,0,1,0,0,0,0,0,0,0,2,0,"Wohnung",0,1,0,0,0,0,0,0,0,0,0,"625600.0CHF",0,0,3.5,1,0,0,0,0,1,2018,2013,7546
180,0,0,0,0,1,0,0,1,0,3,0,"Maisonette",0,0,1,0,1,0,0,1,0,0,0,"1485000.0CHF",0,0,6.5,1,0,0,0,0,1,2016,2015,6062
119,1,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,1,1,0,0,0,1,0,0,"677000.0CHF",0,0,4.5,1,0,0,0,0,0,2019,2018,9033
142,1,0,0,0,0,0,0,0,0,3,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,"1015000.0CHF",0,0,4.5,NA,0,0,0,0,0,2017,2015,9512
160,1,1,0,0,1,0,0,1,0,1,0,"Maisonette",0,1,0,0,0,0,0,0,0,0,0,"1250000.0CHF",0,0,5,1,0,1,0,0,0,2014,1991,1242
85,0,0,0,0,0,0,0,0,0,2,0,"Wohnung",0,0,0,0,0,0,0,1,0,0,0,"690000.0CHF",0,0,4.5,1,0,0,0,0,0,2017,2007,1873
100,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,"490000.0CHF",0,0,4.5,1,0,0,0,0,0,2013,1968,8913
138,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,"725000.0CHF",0,0,3.5,NA,0,0,0,0,0,2016,1994,6760
123,1,0,0,0,0,0,0,1,0,2,0,"Attika",1,0,0,0,1,0,0,1,0,0,0,"765000.0CHF",0,0,4.5,1,0,0,0,0,0,2015,2016,8187
85,1,0,0,0,1,0,0,1,0,3,0,"Wohnung",0,0,0,0,0,0,0,1,0,0,0,"450000.0CHF",0,0,3.5,1,0,0,0,0,1,2013,1999,5210
104,1,0,0,0,1,0,0,1,0,2,0,"Wohnung",1,0,0,0,0,0,0,1,0,0,0,"435000.0CHF",0,0,4.5,1,0,0,0,0,0,2016,1988,5000
83,1,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,1,0,0,0,"480000.0CHF",0,0,4.5,NA,0,0,0,0,0,2015,1997,8105
128,1,0,0,0,0,0,0,1,0,3,0,"Wohnung",1,0,0,1,0,0,0,0,1,0,0,"710000.0CHF",0,0,4.5,1,0,0,0,0,1,2015,2010,1965
78,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,1,0,0,0,1,0,0,"560000.0CHF",0,0,3.5,NA,0,0,0,0,0,2015,2014,1029
150,1,0,0,0,0,0,1,0,0,1,0,"Terrassenwohnung",1,0,0,0,0,0,0,1,0,0,0,"855000.0CHF",0,0,5.5,NA,0,0,0,0,1,2014,1976,7084
128,1,0,0,0,1,0,1,1,0,5,0,"Dachwohnung",1,0,0,0,0,0,1,0,0,0,0,"780000.0CHF",0,0,4.5,1,0,0,0,0,0,2017,1965,7270
112,1,0,0,0,0,0,0,1,0,3,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,"2200000.0CHF",0,0,2.5,NA,0,0,0,0,0,2012,2014,6900
216,1,0,0,0,1,0,0,1,0,3,0,"Wohnung",1,0,1,0,1,0,0,1,0,0,0,"466000.0CHF",0,0,5.5,NA,0,0,0,0,0,2014,2015,4616
120,0,0,0,0,1,0,1,1,0,2,0,"Wohnung",1,0,0,1,0,0,0,1,0,0,0,"1650000.0CHF",0,0,4,1,0,0,0,0,0,2015,1976,3963
155,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,1,0,0,0,1,0,0,"885723.0CHF",0,0,4.5,1,0,0,0,0,0,2018,2018,1870
86,1,0,0,0,0,0,1,1,0,2,0,"Terrassenwohnung",1,0,0,0,0,0,0,1,1,0,0,"650000.0CHF",0,0,3.5,1,0,0,0,0,1,2015,1984,3963
163,0,0,0,0,0,0,0,0,0,2,0,"Dachwohnung",0,0,0,0,1,0,0,0,0,0,0,"980000.0CHF",0,0,4.5,1,0,0,0,0,1,2015,2015,5712
143,1,0,0,0,1,0,1,1,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,"550000.0CHF",0,0,4.5,1,0,0,0,0,1,2014,2003,5103
146,1,0,0,0,0,0,0,1,0,2,0,"Wohnung",0,0,0,0,0,0,0,0,1,0,0,"525000.0CHF",0,0,5.5,1,0,0,0,0,0,2017,1989,1630
142,0,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,"890000.0CHF",0,0,3.5,1,0,0,0,0,1,2014,2011,4460
117,0,0,0,0,0,0,1,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,"1100000.0CHF",0,0,4.5,NA,0,0,0,0,0,2012,1965,5745
102,1,0,0,0,1,0,0,1,0,2,0,"Wohnung",1,0,0,0,1,0,0,1,0,0,0,"190000.0CHF",0,0,2.5,NA,0,0,0,0,0,2014,2015,5707
120,1,0,0,0,1,0,1,1,0,2,0,"Wohnung",1,0,0,0,0,0,0,0,0,0,0,"970000.0CHF",0,0,3.5,NA,0,0,0,0,0,2018,2006,1884
89,0,0,0,0,0,0,0,0,0,2,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,"820000.0CHF",0,0,4.5,NA,0,0,0,0,0,2016,2006,1260
98,1,0,0,0,1,0,0,1,0,2,0,"Wohnung",1,0,0,0,0,0,0,1,0,0,0,"600000.0CHF",0,0,3.5,NA,0,0,0,0,0,2017,2012,2503
72,1,0,0,0,1,0,0,1,0,1,0,"Wohnung",0,0,0,0,1,0,0,1,0,0,0,"395000.0CHF",0,0,3,NA,0,0,0,0,0,2015,2012,8890
260,1,0,0,0,0,0,0,1,0,2,0,"Wohnung",0,0,0,0,0,0,0,1,0,0,0,"1940000.0CHF",0,0,5.5,1,0,0,0,0,0,2013,2006,7050
32,1,0,0,0,1,0,0,1,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,1,0,0,"245000.0CHF",0,0,1.5,1,0,0,0,0,0,2018,1971,7050
178,1,0,0,0,1,0,0,1,0,2,0,"Wohnung",1,0,0,0,1,0,0,1,1,0,0,"425000.0CHF",0,0,5.5,NA,0,0,0,0,0,2015,2014,8802
111,1,0,0,0,1,0,0,1,0,2,0,"Wohnung",1,0,0,0,1,0,0,1,1,0,0,"890000.0CHF",0,0,4.5,1,0,0,0,0,0,2017,2018,8302
150,1,0,0,0,1,0,1,0,0,3,0,"Attika",1,0,0,0,0,0,0,1,1,0,0,"1850000.0CHF",0,0,5,1,0,0,0,0,0,2016,2002,6900
286,0,0,0,0,0,0,1,1,0,6,0,"Attika",0,0,0,0,0,0,0,0,1,0,0,"3950000.0CHF",0,0,6.5,1,0,0,0,0,1,2017,1912,1820
103,1,0,0,0,0,0,1,0,0,2,0,"Wohnung",1,0,0,0,0,0,0,1,0,0,0,"525000.0CHF",0,0,4.5,1,0,0,0,0,0,2016,1995,8193
206,1,0,0,0,1,0,1,1,0,2,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,"2950000.0CHF",0,0,8,1,0,0,0,0,1,2014,1961,1206
192,1,0,0,0,1,0,0,1,0,2,0,"Wohnung",1,0,0,1,1,0,0,1,0,0,0,"990000.0CHF",0,0,5.5,1,0,0,0,0,1,2013,2012,8272
101,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,1,0,0,0,1,0,0,"495000.0CHF",0,0,4.5,1,0,0,0,0,0,2017,2017,1853
120,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,"661000.0CHF",0,0,4.5,NA,0,0,0,0,0,2015,2016,4665
123,1,0,0,0,1,0,0,1,0,2,0,"Wohnung",1,0,0,0,1,0,0,0,1,0,0,"770000.0CHF",0,0,4.5,1,0,0,0,0,0,2015,2014,6020
121,1,0,0,0,1,0,0,1,0,3,0,"Wohnung",1,0,0,0,1,0,0,1,0,0,0,"998000.0CHF",0,0,4.5,1,0,0,0,0,0,2015,2015,6600
80,0,0,0,0,0,0,0,1,0,8,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,"545000.0CHF",0,0,2.5,NA,0,0,0,0,0,2017,2014,2824
