"area","balcony","basement","bath_tube","building_plot","cabletv","ceiling","cheminee","elevator","first_time","floors","furnished","home_type","kids_friendly","laundry","minergie","new_building","newly_built","oldbuilding","oven","parking_indoor","parking_outside","playground","pool","price","quiet","raised_groundfloor","rooms","sale","sunny","terrace","topstorage","veranda","wheelchair","year","year_built","zipcode"
230,1,0,0,0,0,0,1,1,0,5,0,"Attika",0,0,0,0,0,0,0,0,1,0,0,610,0,0,8.5,1,0,0,0,0,1,2016,2008,6982
85,1,0,0,0,0,0,0,1,0,1.98851724878311,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,1460,0,0,3.5,1,0,0,0,0,0,2014,2015,3250
137,1,0,0,0,1,0,0,1,0,1,0,"Wohnung",0,0,0,0,0,0,0,1,0,0,0,2258,0,0,4.5,1,0,0,0,0,0,2018,2002.55635591852,9400
67,0,0,0,0,0,0,0,0,0,1.80644392568779,0,"Wohnung",0,0,0,0,0,0,0,0,1,0,0,992,0,0,2.5,1,0,0,0,0,0,2013,1989,1897
92,1,0,0,0,0,0,0,1,0,1.98504851071326,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,1230,0,0,3.5,1,0,0,0,0,0,2012,2012,4922
100,0,0,0,0,0,0,0,0,0,1.51877930446487,0,"Wohnung",0,0,0,1,1,0,0,0,0,0,0,2288,0,0,3.77065967558316,1,0,0,0,0,0,2019,2019,1934
80,1,0,0,0,1,0,1,0,0,1.55186023791223,0,"Wohnung",1,0,0,0,0,0,0,0,0,0,0,1751,0,0,3.5,1,0,0,0,0,0,2016,1976.02737867157,7019
110,0,0,0,0,0,0,0,0,0,2.63868263275831,0,"Wohnung",0,0,0,0,0,0,0,0,1,0,0,1606,0,0,3.5,1,0,0,0,0,0,2017,1906,1630
85,1,0,0,0,1,0,0,1,0,2.26167954502609,0,"Wohnung",1,0,0,0,0,0,0,1,0,0,0,1849,0,0,3.5,1,0,0,0,0,0,2015,1985,6912
102.278056402648,1,0,0,0,1,0,0,0,0,1,0,"Wohnung",1,0,0,0,0,0,0,0,1,0,0,713,0,0,4,1,0,0,0,0,0,2013,1998,2314
118,0,0,0,0,1,0,0,1,0,2.69902603807158,0,"Wohnung",0,0,0,0,0,0,0,1,0,0,0,287,0,0,5,1,0,0,0,0,0,2012,1984.03907735382,1252
147,0,0,0,0,1,0,1,1,0,3,0,"Terrassenwohnung",1,0,0,0,0,0,0,0,0,0,0,2505,0,0,4.5,1,0,0,0,0,0,2014,1990,6370
110,0,0,0,0,0,0,0,1,0,2,0,"Wohnung",1,0,0,0,0,0,0,0,0,0,0,2197,0,0,4.5,1,0,0,0,0,0,2018,2001,8310
121,0,0,0,0,0,0,0,0,0,1.82690423422059,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,387,0,0,3.5,1,0,0,0,0,0,2015,2015,6900
97,1,0,0,0,0,0,0,0,0,1.60500552689417,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,88,0,0,3,1,0,0,0,0,0,2012,2014,3823
143,1,0,0,0,1,0,0,1,0,1.8140460342466,0,"Wohnung",0,0,0,1,1,0,0,1,1,0,0,2096,0,0,4.5,1,0,0,0,0,0,2018,2018,4435
78,1,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,0,0,0,0,1,0,0,0,1930,0,0,3.5,1,0,0,0,0,0,2016,1996.64692361634,1196
150,0,0,0,0,0,0,0,0,0,1.77620326347396,0,"Maisonette",0,0,0,0,1,0,0,0,0,0,0,2147,0,0,5.5,1,0,0,0,0,0,2013,2013,4528
141,0,0,0,0,0,0,0,0,0,2.08889721635603,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,2460,0,0,4.5,1,0,0,0,0,0,2016,1981.634806873,1897
103,1,0,0,0,0,0,0,1,0,2.32915283009012,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,1617,0,0,3.5,1,0,0,0,0,0,2014,1984.51727162954,4629
110,0,0,0,0,0,0,0,0,0,2,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,1513,0,0,6,1,0,0,0,0,0,2018,1984.54494250463,3961
90,0,0,0,0,0,0,0,0,0,2.04713155626094,0,"Maisonette",0,0,0,0,0,0,0,0,0,0,0,1479,0,0,4.5,1,0,0,0,0,0,2018,1992,7078
120,0,0,0,0,1,0,0,1,0,1,0,"Wohnung",1,0,0,0,0,0,0,1,1,0,0,2048,0,0,4.5,1,0,0,0,0,0,2017,1998.69179808798,1965
95,0,0,0,0,1,0,0,1,0,2.41932139829894,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,1827,0,0,3.5,1,0,0,0,0,0,2014,1985.3917941099,6500
137.504174168855,0,0,0,0,0,0,1,0,0,3,0,"Dachwohnung",0,0,0,0,0,0,0,1,0,0,0,1865,0,0,4.5,1,0,0,0,0,0,2016,1985,5632
76,1,1,1,0,1,0,0,1,0,1,0,"Wohnung",0,1,0,0,0,0,0,0,0,0,0,1304,0,0,4.5,1,0,0,1,0,1,2014,1987,8580
157,0,0,0,0,0,0,1,1,0,2.29244445254062,0,"Wohnung",0,0,0,0,1,0,0,1,0,0,0,1263,0,0,4.5,1,0,0,0,0,0,2014,2013,3963
101,0,1,0,0,0,0,0,0,0,4,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,1168,0,0,5.5,1,0,0,0,0,0,2015,1969.17616813598,2610
175,1,0,0,0,1,0,0,0,0,2,0,"Maisonette",1,0,0,0,0,0,0,1,0,0,0,2071,0,0,5.5,1,0,0,0,0,0,2015,1991,1462
