"area","balcony","basement","bath_tube","building_plot","cabletv","ceiling","cheminee","elevator","first_time","floors","furnished","home_type","kids_friendly","laundry","minergie","oven","parking_indoor","parking_outside","playground","pool","quiet","raised_groundfloor","rooms","sale","sunny","terrace","topstorage","veranda","wheelchair","zipcode","age"
104,1,0,0,0,1,0,0,1,0,2,0,"Wohnung",1,0,0,0,1,0,0,0,0,0,4.5,1,0,0,0,0,0,"5000",32
73,0,0,0,0,0,0,0,0,0,3,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,"1255",24
128,1,0,0,0,0,0,0,1,0,3,0,"Wohnung",1,0,0,0,0,1,0,0,0,0,4.5,1,0,0,0,0,1,"1965",10
125,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,4.5,1,0,0,0,0,0,"1964",7
132,0,0,0,0,1,0,1,1,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,4.5,1,0,0,0,0,1,"1807",34
128,1,0,0,0,1,0,1,1,0,1,0,"Dachwohnung",1,0,0,1,0,0,0,0,0,0,4.5,1,0,0,0,0,0,"7270",55
104,0,0,0,0,0,0,0,1,0,2,0,"Attika",0,0,0,0,0,0,0,0,0,0,2.5,1,0,0,1,0,0,"1262",12
52,1,0,0,0,0,0,1,0,0,3,0,"Wohnung",0,0,0,0,0,0,0,1,0,0,2.5,1,0,0,0,0,0,"6614",48
120,0,0,0,0,1,0,1,1,0,1,0,"Wohnung",1,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,"3963",44
155,0,0,0,0,0,0,0,0,0,8,0,"Wohnung",0,0,0,0,0,1,0,0,0,0,4.5,1,0,0,0,0,0,"1870",2
86,1,0,0,0,0,0,1,1,0,2,0,"Terrassenwohnung",1,0,0,0,1,1,0,0,0,0,3.5,1,0,0,0,0,1,"3963",36
163,0,0,0,0,0,0,0,0,0,2,0,"Dachwohnung",0,0,0,0,0,0,0,0,0,0,4.5,1,0,0,0,0,1,"5712",5
143,1,0,0,0,1,0,1,1,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,4.5,1,0,0,0,0,1,"5103",17
109,1,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,0,0,1,0,0,0,0,5.5,1,0,0,0,0,0,"1630",31
142,0,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,3.5,1,0,0,0,0,1,"4460",9
240,0,0,0,0,0,0,1,1,0,3,0,"Wohnung",0,0,0,0,0,1,0,0,0,0,4.5,1,0,0,0,0,0,"1007",45
190,0,0,0,0,0,0,0,0,0,2,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,"1971",2
134,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,5.5,1,0,0,0,0,0,"1510",46
240,0,0,0,0,0,0,0,0,0,3,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,5.5,1,0,0,0,0,0,"6968",45
129,0,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,"1234",22
123,0,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,3.5,1,0,0,0,0,0,"6648",2
260,1,0,0,0,0,0,0,1,0,2,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,5.5,1,0,0,0,0,0,"7050",14
56,1,0,0,0,1,0,0,1,0,1,0,"Wohnung",0,0,0,0,0,1,0,0,0,0,1.5,1,0,0,0,0,0,"7050",49
136,0,0,0,0,0,0,0,0,0,2,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,5.5,1,0,0,0,0,0,"1255",7
111,1,0,0,0,1,0,0,1,0,4,0,"Wohnung",1,0,0,0,1,1,0,0,0,0,4.5,1,0,0,0,0,0,"8302",2
150,1,0,0,0,1,0,1,0,0,3,0,"Attika",1,0,0,0,1,1,0,0,0,0,5,1,0,0,0,0,0,"6900",18
286,0,0,0,0,0,0,1,1,0,6,0,"Attika",0,0,0,0,0,1,0,0,0,0,6.5,1,0,0,0,0,1,"1820",108
103,1,0,0,0,0,0,1,0,0,1,0,"Wohnung",1,0,0,0,1,0,0,0,0,0,4.5,1,0,0,0,0,0,"8193",25
